category,part_number,description,price,currency,stock,date,fetched_at,source
capacitor,CAP38789B,Infineon 10uF QFN-32 Capacitor,43.9032,USD,14223,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
connector,CON71789H,TDK 100k 0603 Connector,41.8089,USD,35241,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND93961E,Infineon 10uF SOT-23 Inductor,13.9205,USD,39910,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY87732F,Vishay 220uF SOIC-8 Crystal,64.3978,USD,2406,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
sensor,SEN87448A,Texas Instruments 1k SOT-23 Sensor,39.9796,USD,36007,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
sensor,SEN94823C,Vishay 100k 0603 Sensor,25.6039,USD,29951,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
capacitor,CAP32038A,TDK 1N4148 1206 Capacitor,22.3641,USD,24414,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL76512G,Murata 100nF DIP-8 Relay,59.7658,USD,5605,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY29798H,Panasonic 1N4148 TO-220 Crystal,36.9996,USD,33206,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES16646C,NXP 10uF SOIC-8 Resistor,60.9916,USD,37026,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
sensor,SEN84084H,TDK 1N4148 0603 Sensor,38.1903,USD,23548,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES67994C,Murata 2N3904 0603 Resistor,13.9873,USD,37545,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY83846B,NXP 10uF QFN-32 Crystal,22.7671,USD,24170,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED11154H,STMicro 1N4148 SOIC-8 Led,48.5984,USD,6246,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
ic,IC86078A,Murata LM358 SOIC-8 Ic,29.8107,USD,28956,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY23109A,Samsung 1N4148 0805 Crystal,17.4925,USD,6979,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED48269G,TE Connectivity 1N4148 QFN-32 Led,32.1781,USD,5167,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
switch,SWI25192A,Murata 1k DIP-8 Switch,47.4962,USD,5877,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
ic,IC57906D,Texas Instruments 220uF SOT-23 Ic,65.4061,USD,22327,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES75097B,TDK 2N3904 DIP-8 Resistor,17.2095,USD,6909,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
diode,DIO43180A,Texas Instruments 10k QFN-32 Diode,22.2861,USD,21659,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
sensor,SEN82102H,TE Connectivity 10k 1206 Sensor,63.5779,USD,26199,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS14937B,Panasonic LM358 0805 Fuse,42.4252,USD,32341,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY14298H,Panasonic 1k SOIC-8 Crystal,60.1425,USD,17877,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
transistor,TRA84629E,NXP 10uF SOIC-8 Transistor,49.1601,USD,42304,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES81658F,STMicro LM358 SOIC-8 Resistor,57.7619,USD,24826,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL83414G,Infineon 10k 0603 Relay,43.1543,USD,18395,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
diode,DIO51931A,Samsung 100k 0805 Diode,42.5055,USD,41546,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
ic,IC74243B,ON Semi 10uF TO-220 Ic,9.1578,USD,40436,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL70572A,TE Connectivity 1k DIP-8 Relay,48.0719,USD,41025,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY66039D,NXP 100k 0805 Crystal,14.3864,USD,3020,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
switch,SWI65865D,STMicro 10k QFN-32 Switch,4.5679,USD,15389,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED73075G,Vishay 220uF 0805 Led,16.9969,USD,14450,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
ic,IC83410C,NXP 2N3904 SOIC-8 Ic,3.3917,USD,18605,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND83844D,TE Connectivity 2N3904 SOIC-8 Inductor,27.9764,USD,34926,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
connector,CON53517C,Texas Instruments 10uF QFN-32 Connector,24.3542,USD,15744,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
ic,IC35192E,Vishay 100nF 0805 Ic,52.8996,USD,32113,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
ic,IC89497G,Texas Instruments 1k SOT-23 Ic,50.5709,USD,10183,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES14464E,Panasonic 1N4148 DIP-8 Resistor,24.18,USD,4846,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL50319H,Texas Instruments 220uF QFN-32 Relay,42.7272,USD,31156,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL11692B,TE Connectivity 1k TO-220 Relay,61.4466,USD,16253,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
capacitor,CAP38724C,Texas Instruments 10uF TO-220 Capacitor,33.3197,USD,42262,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL64979G,Samsung 10k SOIC-8 Relay,36.1038,USD,8993,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND32819E,Texas Instruments 100k QFN-32 Inductor,59.5443,USD,27601,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
sensor,SEN47957A,Panasonic 100nF DIP-8 Sensor,4.9401,USD,1661,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED24358B,Vishay 10uF DIP-8 Led,21.248,USD,26528,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
